"V1" "V2" "V3" "V5" "V6"
"1" 0.751752708324409 0.319587800216072 0.702508771767431 0.244783989555772 0.5
"2" 0 0.520929761995093 0.702508771767431 0.368853410333516 0.6
"3" 0.793141504367769 0.35576643397324 0.271328119779503 0.368853410333516 0.5
"4" 0 0.260457129989303 0.414482996046411 0.413448636538203 0.5
"5" 0.409202344033358 0.576858084711488 0.602431653113507 0.413448636538203 0.6
"6" 0.162406426895362 0.383905371339926 0.530499436299989 0.296717525726709 0.6
"7" 0.0377380696367257 0.481250884392246 0.301088313364384 0.53269085304322 0.5
"8" 0.655675667221259 0.473949970913322 0.676678564190069 0.706304739114956 0.7
"9" 0.106739379796076 0.416064156901853 0.479980368192133 0.244783989555772 0.5
"10" 0.32978740119747 0.453170447934846 0.676678564190069 0.345535478047034 0.5
"11" 0 0.538459534786799 0.393141365611134 0.345535478047034 0.5
"12" 0 0.416064156901853 0.560027224033637 0.217565361185825 0.5
"13" 0.32978740119747 0.466841186736475 0.43292560284213 0.368853410333516 0.5
"14" 0.409202344033358 0.49646112080667 0.560027224033637 0.816340271796993 0.6
"15" 0.588949607655959 0.684054036584578 0.731214626703342 0.368853410333516 0.5
"16" 0.554634086925582 0.698211992492344 0.781323707941255 0.368853410333516 0.6
"17" 0.588949607655959 0.566808464223386 0.576162895421524 0.413448636538203 0.5
"18" 0.666573517258028 0.481250884392246 0.485780312957075 0.568169002390323 0.7
"19" 0.179513523673849 0.351415051906227 0.385075500405528 0.160441319476384 0.5
"20" 0.179513523673849 0.466841186736475 0.611817657669879 0.244783989555772 0.6
"21" 0 0.338883071553229 0.393141365611134 0.633605536152689 0.6
"22" 0.383351080912705 0.399430302300857 0.702508771767431 0.189464000332259 0.5
"23" 0.803375698028507 0.488751822897989 0.49778650936232 0.475624239854498 0.7
"24" 0.434519921604966 0.421875985617864 0.273896167637825 0.345535478047034 0.5
"25" 0.611459327144555 0.63230426671481 0.510378600866757 0.745698918914987 0.6
"26" 0.144674876171709 0.609016870273415 0.716462801421065 0.53269085304322 0.7
"27" 0.709589507014902 0.504387582036723 0.621557933634459 0.455495881352293 0.4
"28" 0.863902436796457 0.576858084711488 0.631680277293323 0.345535478047034 0.5
"29" 0.471604760099056 0.305426133179628 0.229001136065662 0.130456599319066 0.5
"30" 1 0.271349621873182 0.341350931974893 0.837742077023368 0.5
"31" 0.0634676149522354 0.35576643397324 0.576162895421524 0.692500967723088 0.6
"32" 0.64471709944626 0.597945812948817 0.552322571875593 0.663814755330782 0.7
"33" 0.751752708324409 0.36020942408377 0.50400576645403 0.345535478047034 0.7
"34" 0.577586959006651 0.609016870273415 0.358678691765567 0.692500967723088 0.6
"35" 0.287639235518395 0.488751822897989 0.43292560284213 0.345535478047034 0.5
"36" 0.495793640609848 0.446594649523936 0.334732962181678 0.244783989555772 0.6
"37" 0.383351080912705 0.440183246073298 0.261304076133389 0.345535478047034 0.5
"38" 0 0.330937959826164 0.746861034095688 0.368853410333516 0.5
"39" 0.507740919617883 0.440183246073298 0.362288354527462 0.568169002390323 0.6
"40" 0.813566615881486 0.972658522396742 0.702508771767431 0.770388255517677 0.6
"41" 0.0377380696367257 0.620463217676812 0.716462801421065 0.816340271796993 0.6
"42" 0.273133964380948 0.453170447934846 0.653199959947014 0.455495881352293 0.5
"43" 0.343435260591747 0.473949970913322 0.516912789883273 0.805258220685933 0.6
"44" 0.622610799300406 0.459917046304481 0.664672367784824 0.53269085304322 0.7
"45" 0.863902436796457 0.440183246073298 0.925753088923437 0.568169002390323 0.5
"46" 0.51959520719808 0.342976007897474 0.523616716939682 0.53269085304322 0.5
"47" 0.273133964380948 0.404845975891879 0.584625511943319 0.475624239854498 0.5
"48" 0.588949607655959 0.620463217676812 0.843564422612572 0.648907157422786 0.6
"49" 0 0.488751822897989 0.664672367784824 0.189464000332259 0.5
"50" 0.258367091191525 0.351415051906227 0.381135169205889 0.217565361185825 0.5
"51" 0.196092761971144 0.529565753002772 0.59337505087416 0.585193264430183 0.4
"52" 0.666573517258028 0.744083769633508 0.800449988462208 0.413448636538203 0.6
"53" 0.409202344033358 0.459917046304481 0.560027224033637 0.217565361185825 0.5
"54" 0.243313169500131 0.473949970913322 0.485780312957075 0.413448636538203 0.5
